
? CHAPTER ONE  ?
8  Noble and friends
9  Outlaw(s)
10  Post with hanging cage
11  Prisoner wagon
12  Prospector(s)
13  Refugees
14  Religious Pilgrims
15  Resting traveler
16  Royalty and guards
17  Tinker
18  Toll collector
19  Wealthy citizen in carriage
20  Young couple
Table 7–107: Encounter Conditions 1
1  Angry
2  Arguing with someone
3  Bathing
4  Begging
5  Being chased
6  Being entertained
7  Belligerent
8  Bloodied
9  Bound and gagged
10  Branding an animal
11  Burying something/someone
12  Chasing someone
13  Climbing
14  Comatose
15  Confused
16  Conversing with someone
17  Counting something
18  Crazed
19  Crying
20  Dying/Dead
Table 7–108: Encounter Conditions 2
1  Deranged
2  Destroying something
3  Digging
4  Dirty
5  Dizzy
6  Drawing in ground
7  Drumming
8  Drunk
9  Dueling
10  Eating
11  Embarrassed
12  Engaged in art
13  Engaged in craft
14  Farming
15  Fatigued
16  Feverish
17  Fighting
18  Fishing
19  Frustrated
20  Hallucinating

? CHAPTER SEVEN  ?
Table 7–109: Encounter Conditions 3
1  Happy
2  Herding
3  Hiding something/someone
4  Hunting
5  Ill
6  Itching
7  Killing something/someone
8  Laughing
9  Learning
10  Lost
11  Mad
12  Meditating
13  Nauseated
14  Negotiating with someone
15  Nervous
16  On a quest
17  Overly insulting
18  Overly polite
19  Panicked
20  Paranoid
Table 7–110: Encounter Conditions 4
1  Planning
2  Playing a game
3  Playing an instrument
4  Plotting
5  Praying
6  Proud
7  Purchasing something
8  Questioning someone
9  Recently ambushed
10  Recently robbed
11  Relaxing
12  Resting
13  Riding a horse
14  Running
15  Saddling a horse
16  Scared
17  Searching for something/someone
18  Shamed
19  Shoeing a horse
20  Showing mercy
Table 7–111: Encounter Conditions 5
1  Sick
2  Singing
3  Sleeping
4  Smoking a pipe
5  Smoking an animal carcass
6  Sorting through pack(s)
7  Studying
8  Surprised
9  Tanning an animal hide
10  Tending a garden
11  Thinking
12  Tired
13  Tracking
14  Training
15  Tutoring
16  Unconscious
17  Whistling
18  Working
19  Worried
20  Wounded

? CHAPTER SEVEN  ?
Table 7–112: Riddles 1
1  As I walked, I saw something with four fingers and one thumb. It was not flesh, fish, bone, or fowl. 
2  Barrel of water weighs 20 pounds. What must you add to it to make it weigh 12 pounds? 
3  Give it food and it will live; give it water and it will die. 
4  He has married many women but has never married. Who is he? 
5  I have holes on the top and bottom. I have holes on my left and my right.  And I have holes in the middle, yet I still hold water. What am I? 
6  I look at you, you look at me, I raise my right, you raise your left. What is this object? 
7  I run, yet I have no legs. What am I? 
8  I went into the woods and got it, I sat down to seek it, I brought it home because I could not find it. 
9  If you have it, you want to share it. If you share it, you don't have it. What is it? 
10  It has no top or bottom but it can hold flesh, bones, and blood all at the same time. What is it? 
11  It is weightless, you can see it, and if you put it in a barrel it will make the barrel lighter? 
12  It's been around for millions of years, but it's no more than a month old. What is it?
13  Light as a feather, there is nothing in it; the strongest man can't hold it for much more than a minute. 
14  No sooner spoken than broken. What is it? 
15  Remove the outside, cook the inside, eat the outside, throw away the inside. 
16  Take off my skin, I won't cry, but you will. What am I? 
17  Take one out and scratch my head, I am now black but once was red. 
18  The more there is, the less you see. 
19  The more you take the more you leave behind. 
20  They come at night without being called and are lost in the day without being stolen. 
Table 7–113: Riddles 2
1  What belongs to you but others use it more than you do?
2  What can fill a room but takes up no space? 
3  What can go up and come down without moving? 
4  What can run but never walks, has a mouth but never talks, has a head but never weeps, has a bed but never sleeps? 
5  What comes once in a minute, twice in a moment, but never in a thousand years?
6  What do you fill with empty hands? 
7  What do you throw out when you want to use it but take in when you don't want to use it? 
8  What gets wetter the more it dries? 
9  What goes up and down stairs without moving? 
10  What goes up and never comes down? 
11  What has a foot on each side and one in the middle? 
12  What has to be broken before it can be used? 
13  What is it the more you take away the larger it becomes?
14  What kind of coat can be put on only when wet? 
15  What kind of room has no windows or doors? 
16  What question can you never answer "yes" to? 
17  When one does not know it, then it is something; but when one knows what it is, then it is nothing.
18  Who spends the day at the window, goes to the table for meals and hides at night?
19  You answer me, although I never ask you questions. What am I? 
20  You can't keep this until you have given it.

? CHAPTER SEVEN  ?
Table 7–114: Answers 1
1  Glove
2  Holes
3  Fire
4  Priest
5  Sponge
6  Mirror
7  Nose
8  Splinter
9  Secret
10  Ring
11  Hole
12  Moon
13  Breath
14  Silence
15  Corn
16  Onion
17  Match
18  Darkness
19  Footsteps
20  Stars
Table 7–115: Answers 2
1  Your name
2  Light
3  Temperature
4  River
5  Letter M
6  Gloves
7  Anchor
8  Towel
9  Carpet
10  Your age
11  Yardstick
12  Egg
13  Hole
14  Coat of paint
15  Mushroom
16  "Are you asleep?"
17  Riddle
18  Fly
19  Door
20  Promise


? APPENDIX  ?
Anglo-Saxon Female
1  Aethelthryth
2  Bearrocscir
3  Beornia
4  Bodicea
5  Catherine
6  Chelsea
7  Cwen
8  Daedbot
9  Darelle
10  Elva
11  Elvina
12  Etheswitha
13  Linette
14  Meghan
15  Mildred
16  Orva
17  Rheda
18  Rowena
19  Sulis
20  Sunniva
Anglo-Saxon Male
1  Acwellen
2  Aethelbert
3  Aiken
4  Aldhelm
5  Athelstan
6  Bordan
7  Cuthbert
8  Deman
9  Drefan
10  Eldrid
11  Faran
12  Hengist
13  Iuwine
14  Modig
15  Ord
16  Putnam
17  Scowyrhta
18  Tolucan
19  Wright
20  Wyne
Arabic Female
1  Adila
2  Aiesha
3  Akilah
4  Almira
5  Amira
6  Anisa
7  Azra
8  Dirran
9  Fatima
10  Hadiya
11  Iman
12  Isra
13  Jala
14  Jazlyn
15  Kamil
16  Karima
17  Latifa
18  Leila
19  Lilith
20  Lina
 
Arabic Female 
1  Malika
2  Maryam
3  Maysa
4  Naimah
5  Noor
6  Noya
7  Oma
8  Raja
9  Rihana
10  Safia
11  Salima
12  Samirah
13  Shahira
14  Shamara
15  Sumehra
16  Tahira
17  Thara
18  Zahara
19  Zara
20  Zohra
Arabic Male 
1  Abdul
2  Adnan
3  Ahmed
4  Akram
5  Amal
6  Ansari
7  Ashraf
8  Asim
9  Basim
10  Burhan
11  Emir
12  Faisal
13  Fazil
14  Gamal
15  Habib
16  Hakim
17  Hassan
18  Jamal
19  Kalid
20  Kasim
Arabic Male 
1  Majid
2  Masud
3  Melek
4  Mohammad
5  Nasir 
6  Nuri
7  Omar
8  Rafi
9  Raman
10  Sabir
11  Salah
12  Sammon
13  Sarni
14  Sayed
15  Selim
16  Shaifiq
17  Shakar
18  Suleiman
19  Talib
20  Zaki

? APPENDIX  ?
Aztec Female 
1  Chalchiuitl
2  Citlalmina
3  Coaxoch
4  Eleuia
5  Eloxochitl
6  Ichtaca
7  Icnoyotl
8  Ixcatzin
9  Mahuizoh
10  Nahuatl
11  Nenetl
12  Nochtli
13  Patli
14  Teicuih
15  Xiloxoch
16  Xochicotzin
17  Xocoyotl
18  Yaotl
19  Yolotli
20  Yoloxochitl
Aztec Male 
1  Ahuiliztli
2  Cipactli
3  Cuetzpalli
4  Huitzilli
5  Ihuicatl
6  Ilhicamina
7  Ilhuitl
8  Itotia
9  Mahuizoh
10  Moyolehuani
11  Nahuatl
12  Nelli
13  Nochtli
14  Nopaltzin
15  Ollin
16  Tepiltzin
17  Tlexictli
18  Xicohtencatl
19  Yaotl
20  Yolyamanitzin
Basque Female
1  Arana
2  Auriola
3  Bidane
4  Domeka
5  Elisabete
6  Erguia
7  Estebeni 
8  Gadea
9  Gurutze
10  Hua
11  Igone
12  Iriuela
13  Jasone
14  Katerin 
15  Koru
16  Larraza
17  Legarra
18  Loza
19  Martie
20  Mendiete
Basque Female
1  Munia
2  Naiara
3  Nora
4  Oihane
5  Olaria
6  Oria
7  Orrao
8  Pelela
9  Pilare
10  Saioa
11  Soskao
12  Terese
13  Uba
14  Urdina
15  Ursola
16  Usoa
17  Ximena
18  Zabal
19  Zubia 
20  Zuza
Basque Male
1  Agosti
2  Alain 
3  Andolin 
4  Asier
5  Basajaun
6  Batista
7  Bazkoare
8  Bikendi 
9  Diagur
10  Dunixi
11  Eguntsenti
12  Erlantz
13  Estebe
14  Firmo 
15  Gabirel
16  Gabon
17  Gerazan
18  Gizon
19  Hegoi 
20  Iban
Basque Male
1  Ilixo
2  Isidor
3  Jakue
4  Lehior
5  Luken
6  Mattin
7  Nahia
8  Oihan
9  Perrando
10  Piarres
11  Sabin
12  Sasoin 
13  Sustrai
14  Tristan
15  Txaran
16  Ubarna
17  Urbez 
18  Xabat
19  Xefe 
20  Zeledon 

? APPENDIX  ?
Bulgarian Female
1  Albena
2  Bilyana
3  Darina
4  Emiliya
5  Galina
6  Iskra
7  Katerina
8  Lidiya
9  Magdalena
10  Milena
11  Nedelya
12  Polina
13  Radka
14  Silviya
15  Svetlana
16  Tereza
17  Varvara
18  Yana
19  Zharina
20  Zora
 
Bulgarian Male
1  Andrei
2  Bogdan
3  Chavdar
4  Damyan
5  Dragomir
6  Evgeni
7  Gavril
8  Hristo
9  Iordan
10  Ivaylo
11  Kiril
12  Lmladen
13  Lyudmil
14  Ognian
15  Penko
16  Rayko
17  Stanislav
18  Toma
19  Yasen
20  Zhivko
Chinese Female 
1  Bao Ji
2  Chen Juijuan
3  Cheng Yi
4  Dao Juefeng
5  Fang Weihong
6  Fong Lin
7  Gai Chyou
8  Guo Li-Mei
9  He Xiang
10  Heng Jia
11  Hsia Zhen
12  Hsaio Yong
13  Jiang Lingjuan
14  Kong Mei
15  Lai Qiurui
16  Lee Jiani
17  Lu Cai
18  Ma Zi
19  Mao Shuang
20  Pan Mei-Xiu
Chinese Female 
1  Qiu Peipei
2  Shen Yue-Yan
3  Shih Lan
4  Shu Kuan-yin
5  Su Yuefang
6  Tan Jing
7  Tsai Qiurui
8  Wan Xiu
9  Wei Juefeng
10  Wu Hong
11  Xiu Juijuan
12  Xu Ping
13  Xue Jiang-Li
14  Yang Hai
15  Ying Jun
16  Yi Yueqin
17  Yu Lin-Na
18  Yun Xiaobo
19  Zheng Jianping
20  Zhou Yanjun
Chinese Male 
1  Chan 
2  Chang Kong
3  Chen Fa
4  Chiang Keng
5  Fong Tao
6  Gao Loo
7  Guan Meng
8  Hsaio Hu
9  Hsu Yeung
10  Huang Xiao
11  Jiang Shiping
12  Lau Feng
13  Lee Kuang
14  Lee Jian
15  Lee Cong-Min
16  Liang Da-Xia
17  Lau Wu
18  Lo Zhou
19  Lu Chang
20  Luo Xiao
Chinese Male 
1  Kwong Chi
2  Ma Tao
3  Ng Xun
4  Ouyang Yi-Min
5  Qau Peng
6  Qiu Yu
7  Quan Xing
8  Song Zhu
9  Tang Guo
10  Tong Yue
11  Sun Yifu
12  Tan Kuang
13  Wei Sze
14  Wu Yu Yuejiu
15  Xiang Kung
16  Xiu Wei
17  Xu Weiqiang
18  Yip Chih
19  Zheng Yang
20  Zhuge Kuen

? APPENDIX  ?
Dutch Female 
1  Alva
2  Anika
3  Annemie
4  Arabella
5  Brandy
6  Francisca
7  Griseldis
8  Grushilda
9  Lien
10  Mahault
11  Meranie
12  Mina
13  Muaeve
14  Neve
15  Rozamond
16  Sibylla
17  Skye
18  Skyla
19  Sofie
20  Sybylla
Dutch Male 
1  Ambrosius
2  Clementius
3  Espen
4  Gottfried
5  Gregor
6  Harold
7  Henrick
8  Koenraad
9  Lauritz
10  Neils
11  Nicolaas
12  Schuyler
13  Smid
14  Stille
15  Stieor
16  Tiebout
17  Van Aken
18  Vanderpool
19  Vromme
20  Wevers
East African Female
1  Adhiambo
2  Amanishakhete
3  Amara
4  Ashia
5  Assaggi
6  Ayana
7  Aziza
8  Azmera
9  Berhane
10  Esiankiki
11  Fatuma
12  Fowsia
13  Iyangura
14  Japera
15  Jwahir
16  Kamaria
17  Loiyan
18  Marwe
19  Massassi
20  Muthoni
East African Female
1  Nadifa
2  Nagesa
3  Najja
4  Naliaka
5  Nangila
6  Ndila
7  Nehanda
8  Nigesa
9  Seble Wengel
10  Sekai
11  Selam
12  Selamawit
13  Sharufa
14  Sisay
15  Teru
16  Wagaye
17  Wambui
18  Wangari
19  Yeshi
20  Zauditu
East African Male
1  Abdikarim
2  Abdimelech
3  Asad
4  Berhanu
5  Dalmar
6  Daniachew
7  Desta
8  Ghedi
9  Iniko
10  Iskinder
11  Jimiyu
12  Jiri
13  Kaleb
14  Kamau
15  Kenyatta
16  Kimane
17  Kimathi
18  Korfa
19  Labaan
20  Lusala
East African Male
1  Mekonnen
2  Menelik
3  Muenda
4  Mureithi
5  Nadif
6  Njau
7  Nyasore
8  Odero
9  Othieno
10  Sule
11  Tamirat
12  Tegene
13  Tewodros
14  Wachiru
15  Wamocha
16  Wangombe
17  Wanjohi
18  Wekesa
19  Yekuno Amlak
20  Zere

? APPENDIX  ?
Egyptian Female 
1  Chione
2  Hatshepsut
3  Ife
4  Isis
5  Maibe
6  Monifa
7  Mukamutara
8  Mumatra
9  Nathifa
10  Nekhbet
11  Nephthys
12  Oni
13  Oseye
14  Sabah
15  Subira
16  Tefnut
17  Yaminah
18  Zalika
19  Zaliki
20  Zesiro
Egyptian Male 
1  Abayomi
2  Abubakar
3  Amun
4  An-Her
5  Atsu
6  Baruti
7  Cheops
8  Fenuku
9  Gahiji
10  Ishaq
11  Khaldun
12  Khepri
13  Lukman
14  Mbizi
15  Nuru
16  Sekani
17  Sethos
18  Sifiye
19  Sobk
20  Tum
Finnish Female 
1  Anna
2  Annikki
3  Anttiri
4  Dorotea
5  Eeva
6  Helli
7  Ingria
8  Inkeri
9  Jaana
10  Jonna
11  Jurma
12  Kalwa
13  Katri
14  Katrikki
15  Maiju
16  Maikki
17  Paeivi
18  Russu
19  Ruta
20  Vellamo
Finnish Male 
1  Antti
2  Eljas
3  Heikki
4  Ilmari
5  Jarvi
6  Jussi
7  Kaarlo
8  Kirkkomaki
9  Kivi
10  Leevi
11  Mustanen
12  Rikkard
13  Santtu
14  Seppanen
15  Severi
16  Talo
17  Tapio
18  Tuomas
19  Tarlid
20  Yrjo
French Female 
1  Angevin
2  Berenice
3  Celestine
4  Didiane
5  Elise
6  Felice
7  Genevieve
8  Giselle
9  Idette
10  Jolene
11  Josette
12  Liliane
13  Margot
14  Marjolaine
15  Nadine
16  Odette
17  Osanne
18  Riva
19  Sabine
20  Veronique
French Male 
1  Arnaud
2  Baptiste
3  Cesaire
4  Damien
5  Edouard
6  Fabrice
7  Gascon
8  Goddard
9  Henri
10  Jacques
11  Julien
12  Lothaire
13  Marcel
14  Odilon
15  Papillion
16  Pierre
17  Reynaud
18  Sebastian
19  Severin
20  Thibault

? APPENDIX  ?
Gaelic Female 
1  Aithne
2  Alma
3  Briana
4  Bridget
5  Brina
6  Caitlin
7  Colleen
8  Cordelia
9  Dara
10  Deirdre
11  Dina
12  Edma
13  Eileen
14  Emogene
15  Enid
16  Erin
17  Fiona
18  Iona
19  Keira
20  Kelly
 
Gaelic Female 
1  Kyla
2  Leah
3  Leslie
4  Lindsey
5  Lorna
6  Maeve
7  Malise
8  Mona
9  Muriel
10  Raelyn
11  Rowena
12  Sabrina
13  Shannah
14  Shayla
15  Sheena
16  Sheila
17  Sheridan
18  Sinead
19  Treva
20  Vanora
Gaelic Male 
1  Aidan
2  Angus
3  Arthur
4  Bran
5  Brendan
6  Brom
7  Cameron
8  Connor
9  Declan
10  Devlin
11  Diarmud
12  Donnell
13  Donovan
14  Dougal
15  Duncan
16  Ewan
17  Fergus
18  Finnegan
19  Flynn
20  Gavin
Gaelic Male 
1  Glenn
2  Keane
3  Kyle
4  Lachlan
5  Liam
6  Logan
7  Lorne
8  Maxwell
9  Murray
10  Niall
11  Orrin
12  Patrick
13  Quinn
14  Reardon
15  Riley
16  Roarke
17  Rory
18  Seamus
19  Sullivan
20  Tristam
Germanic Female 
1  Adelina
2  Anneliese
3  Arabelle
4  Berit
5  Dorothea
6  Erika
7  Faiga
8  Frederika
9  Gisela
10  Greta
11  Gretchen
12  Heidi
13  Helma
14  Helmine
15  Ilse
16  Julya
17  Karel
18  Katrine
19  Klara
20  Laraine
 
Germanic Female 
1  Lena
2  Liese
3  Lorelei
4  Magda
5  Marlene
6  Mathilda
7  Morgen
8  Natalya
9  Neleke
10  Olga
11  Richelle
12  Roberta
13  Romy
14  Rosalind
15  Roslyn
16  Senta
17  Sofie
18  Tryne
19  Ursula
20  Zelinda

? APPENDIX  ?
Germanic Male 
1  Aldrich
2  Alphonse
3  Alric
4  Anton
5  Brandeis
6  Carl
7  Claudius
8  Cuthbert
9  Dieter
10  Dietrich
11  Dimitri
12  Franz
13  Fritz 
14  Gunther
15  Hans
16  Hartmut
17  Heimdall
18  Heinrich
19  Helmut
20  Hugo
 
Germanic Male 
1  Jakob
2  Johann
3  Josef
4  Kasimir
5  Kiefer
6  Klaus
7  Konrad
8  Konstantine
9  Kurt
10  Lothar
11  Ludwig
12  Nicholai
13  Oleg
14  Oskar
15  Rayner
16  Reinhold
17  Roth
18  Stephan
19  Strom
20  Viktor
Greek Female
1  Aileen
2  Amaryllis
3  Angela
4  Aretina
5  Battista
6  Charis
7  Circe
8  Clio
9  Dionne
10  Eileen
11  Erasma
12  Evangelina
13  Kolina
14  Maeve
15  Neoma
16  Ophira
17  Theodora
18  Tienette
19  Yolanda
20  Zosima
 
Greek Male 
1  Angell
2  Anker
3  Argus
4  Bemus
5  Damian
6  Eudor
7  Giles
8  Juliun
9  Lander
10  Lykaios
11  Otis
12  Quant
13  Quinn
14  Theodore
15  Theophilus
16  Tibalt
17  Timon
18  Timothy
19  Zero
20  Zeth
Hebrew Female 
1  Abira
2  Adelaide
3  Asenette
4  Basha
5  Bathsheba
6  Beshella
7  Eleora
8  Else
9  Emmuna
10  Geva
11  Hedva
12  Ivy
13  Janna
14  Mangena
15  Mara
16  Madiva
17  Nina
18  Rayna
19  Simone
20  Zeanes
Hebrew Male 
1  Abbott
2  Acacio
3  Agabo
4  Ahmik
5  Baruch
6  Eisig
7  Gabai
8  Gersham
9  Matthew
10  Palti
11  Ravid
12  Reuel
13  Samson
14  Seth
15  Uehudah
16  Yadon
17  Yaron
18  Zakai
19  Zann
20  Zedekiah

? APPENDIX  ?
Indian Female 
1  Adya
2  Ahisma
3  Amaravati
4  Anga
5  Annapurna
6  Charumati
7  Damayanti
8  Diti
9  Ishani
10  Jivanta
11  Kalindi
12  Kumari
13  Leya
14  Manjula
15  Mehadi
16  Pandara
17  Ruma
18  Sandhya
19  Shakini
20  Sur
Indian Male 
1  Acey
2  Albinus
3  Cenwalh
4  Cynewulf
5  Dreogan
6  Eddison
7  Josha
8  Kabir
9  Lais
10  Lucan
11  Nara
12  Nodens
13  Oswy
14  Paige
15  Paige
16  Prasutagus
17  Russell
18  Shelley
19  Theomund
20  Visha
Italian Female 
1  Andria
2  Aria
3  Carlotta
4  Delanna
5  Donata
6  Donna
7  Esta
8  Farfalla
9  Mariabella
10  Mia
11  Neroli
12  Niccola
13  Prima
14  Quorra
15  Romana
16  Sienna
17  Venetia
18  Vita
19  Viviana
20  Zola
Italian Male 
1  Dante
2  Giovanni
3  Mario
4  Marius
5  Matteo
6  Nek
7  Neroli
8  Nico
9  Nino
10  Pancrazio
11  Rocco
12  Romeo
13  Salvatore
14  Santo
15  Taddeo
16  Tancredo
17  Uberto
18  Vittorio
19  Zanebono
20  Zanipolo
Japanese Female 
1  Akane 
2  Asuka 
3  Chihiro 
4  Haruka 
5  Kaeda 
6  Manami
7  Mayu
8  Miho
9  Miyu 
10  Mizuki 
11  Momoko 
12  Nanako 
13  Nanami 
14  Natsuki 
15  Natsumi 
16  Reina 
17  Saika 
18  Sakura 
19  Shiori 
20  Yuuka 
Japanese Male 
1  Daichi 
2  Daiki
3  Kaito 
4  Kazuki 
5  Kazuya 
6  Kenta 
7  Naoki 
8  Naoto 
9  Riku 
10  Ryouta
11  Ryuu 
12  Shou 
13  Shouhei 
14  Shouta 
15  Takahiro 
16  Takumi 
17  Tatsuya
18  Tsubasa 
19  Yuudai 
20  Yuuto
 

? APPENDIX  ?
Korean Female 
1  Bo-Bae
2  Cho-Mi
3  Chung-Sook
4  Dae-Sun
5  Ha-Neul
6  Hea-Ok
7  Jeon-Ja
8  Jeung-Oh
9  Jin-Soon
10  Joo-Eun
11  Ko-Bun
12  Kyong-A
13  Min-Ja
14  Moon-Hee
15  Seo-Yul
16  Shin-Su
17  Soo-Young
18  Sun-Sung
19  Yon-Im
20  Yun-Kyu
Korean Male 
1  Byeong-Uk
2  Byung-Tae
3  Chan-Wook
4  Chi-Yul
5  Chul-He
6  Chung-Bae
7  Eun-Sung
8  Ha-Neul
9  Hyun-Gi
10  In-Chul
11  Jae-Kyung
12  Jun-Shik
13  Jung-Gu
14  Ki-Wan
15  Kyung-Hoon
16  Nam-Soo
17  Sang-Hyun
18  Tae-He
19  Ung-Jin
20  Yong-San
Latin Female 
1  Abrienda
2  Alessandra
3  Alisa
4  Andria
5  Bianca
6  Caprice
7  Cara
8  Carmela
9  Chiara
10  Delanna
11  Dolores
12  Elena
13  Felice
14  Giacinta
15  Ginevra
16  Isabella
17  Jolanda
18  Lia
19  Liani
20  Linda
 
Latin Female 
1  Loretta
2  Lucia
3  Luisa
4  Manuela
5  Maribel
6  Marietta
7  Mariposa
8  Marta
9  Ondine
10  Ortensia
11  Perla
12  Phebe
13  Pilar
14  Pomona
15  Rosa
16  Sienna
17  Silvana
18  Solange
19  Tia
20  Viviana
Latin Male 
1  Agosto
2  Alessandro
3  Alonso
4  Carlo
5  Claudio
6  Dante
7  Diego
8  Emilio
9  Enrico
10  Enzo
11  Esteban
12  Felipe
13  Gianni
14  Giovanni
15  Giulio
16  Giuseppe
17  Iago
18  Ilario
19  Javier
20  Lorenzo
Latin Male
1  Lucio
2  Luigi
3  Marcello
4  Massimo
5  Noe
6  Octavius
7  Ossian
8  Pascal
9  Paul
10  Peregrine
11  Quirino
12  Raniero
13  Remus
14  Saben
15  Scipio
16  Saviero
17  Tomas
18  Vencentio
19  Vittore
20  Ximenes

? APPENDIX  ?
Native American Female
1  Ayita
2  Bly
3  Cheyenne
4  Dyani
5  Etania
6  Fala
7  Lakota
8  Malila
9  Mansi
10  Minda
11  Nirvelli
12  Orenda
13  Sakari
14  Shako
15  Taborri
16  Tadi
17  Tama
18  Tarsha
19  Tiponya
20  Wapeka
Native American Male 
1  Dakota
2  Delsin
3  Elu
4  Halian
5  Helaku
6  Jacy
7  Kers
8  Len
9  Motega
10  Nalren
11  Nantan
12  Nodin
13  Paco
14  Patamon
15  Pilan
16  Sahale
17  Tadi
18  Wyome
19  Yakecan
20  Yana
Native American, Other
1  Cloudcatcher
2  Coyote
3  Cries for Summer
4  Crow's Eyes
5  Daughter/Son of the Moon
6  Defies the Heavens
7  Earthwalker
8  Father Talker
9  Fights with Fist
10  Firebearer
11  First Born Wisdom
12  Fist over Heart
13  Ghost of my Father
14  Ghost Whisperer
15  Ghosteyes
16  Greyheart Hunter
17  Hawkeye
18  Horserider
19  Last of the Dogmen
20  Mother of the Rain
Native America, Other
1  Night Eyes
2  Raven-King
3  Red with Anger
4  Runs with Deer
5  Shaman Spirit Son
6  Shouts at Nothing
7  Sister of Midnight
8  Son of a the Plains
9  Skydancer Child
10  Slow-Tongue
11  Spirit Dancer
12  Standing-Bear
13  Thousand Spirit Hate
14  Thunder Climber
15  Two Spirits 
16  Walks with Quiet Heart
17  Wendigo-Child
18  White-Faced Spirit
19  Windrunner
20  Windtalker
Norse Female 
1  Aegileif
2  Andras
3  Brit
4  Dagny
5  Greip
6  Grimhilda
7  Hekja
8  Hela
9  Hilda
10  Ingibjorg
11  Lin
12  Maeva
13  Oddveig
14  Ragna
15  Rona
16  Ronnaug
17  Saehild
18  Thorbiartr
19  Tordis
20  Vaetild
Norse Male 
1  Alviss
2  Anderson
3  Arngrim
4  Blund
5  Brand
6  Geirrod
7  Gunnlaug
8  Hakon
9  Hallbjorn
10  Hrolf
11  Ingjald
12  Ingolf
13  Odell
14  Rotland
15  Skeggi
16  Thorgils
17  Tjasse
18  Vali
19  Ymir
20  Yngvar

? APPENDIX  ?
Persian Female
1  Akram
2  Arghavan
3  Asa
4  Avizeh
5  Bahar
6  Baharak
7  Darya
8  Elaheh
9  Elham
10  Fakhri
11  Farah
12  Ghazaleh
13  Gita
14  Golshan
15  Hamideh
16  Hoda
17  Iman
18  Jamileh
19  Khandan
20  Kimiya
Persian Female
1  Lida
2  Mahla
3  Mahkameh
4  Mariam
5  Marzieh
6  Nadereh
7  Pouran
8  Rana
9  Roya
10  Saba
11  Salma
12  Sanam
13  Sayareh
14  Sita
15  Shanar
16  Suri
17  Touca
18  Vida
19  Yasaman
20  Zoya
Persian Male
1  Amir
2  Asha
3  Assim
4  Bahram
5  Balthazar
6  Bijan
7  Dareh
8  Darioush
9  Darius
10  Ebrahim
11  Farzad
12  Fereydoon
13  Hamid
14  Jahandar
15  Javeed
16  Kasra
17  Kia
18  Kiumars
19  Kouros
20  Mazdak
Persian Male
1  Maziar
2  Mehrab
3  Mehran
4  Mohsen
5  Navid
6  Nima
7  Nouri
8  Parham
9  Parsa
10  Payam
11  Rakhshan
12  Rasheed
13  Salar
14  Salman
15  Saman
16  Sattar
17  Taher
18  Xerses
19  Vafa
20  Vahid
Romanian Female
1  Adela
2  Alina
3  Bianca
4  Carmelia
5  Dana
6  Elisbeta
7  Flavia
8  Gabriela
9  Ileana
10  Liliana
11  Marcela
12  Nicoleta
13  Olimpia
14  Petronela
15  Rahela
16  Sabina
17  Sonia
18  Tatiana
19  Valeria
20  Violeta
Romanian Male
1  Andrei
2  Artur
3  Bogdan
4  Claudiu
5  Dionisie
6  Dorin
7  Emil
8  Fane
9  Gavril
10  Horia
11  Ilie
12  Lucian
13  Marcel
14  Mitica
15  Nelu
16  Petru
17  Remus
18  Sebastian
19  Stefan
20  Viorel

? APPENDIX  ?
Russian Female 
1  Aleksandra
2  Alina
3  Alyona
4  Anastasiya
5  Antonina
6  Anzhelika
7  Dariya
8  Dina
9  Ekaterina
10  Elena
11  Elizaveta
12  Galina
13  Inga
14  Inna
15  Irina
16  Klara
17  Larisa
18  Lidiya
19  Lyudmila
20  Margarita
Russian Female
1  Marina
2  Nadezhda
3  Nataliya
4  Nelli
5  Nina
6  Oksana
7  Olesya
8  Polina
9  Raisa
10  Rozaliya
11  Tamara
12  Tatiyana
13  Valentina
14  Valeriya
15  Vera
16  Veronika
17  Yelena
18  Yelizaveta
19  Yuliya
20  Zinaida
Russian Male 
1  Aleksandr
2  Andrei
3  Anton
4  Arkadiy
5  Artur
6  Artyom
7  Averiy
8  Denis
9  Dmitriy
10  Eduard
11  Evgeniy
12  Gennadiy
13  Georgiy
14  Igor
15  Il'ya
16  Ivan
17  Kirill
18  Konstantin
19  Leonid
20  Lev
Russian Male 
1  Maksim
2  Nikita
3  Nikolai
4  Oleg
5  Pyotr
6  Rodion
7  Rustam
8  Semyon
9  Sergei
10  Stanislav
11  Timofei
12  Vadim
13  Valentin
14  Viktor
15  Vitaliy
16  Vladimir
17  Vladislav
18  Yaroslav
19  Yegor
20  Yuri
Scottish Female 
1  Ainsley
2  Akira
3  Annie
4  Bonnie
5  Ellen
6  Florie
7  Grear
8  Gwen
9  Hextilda
10  Isabel
11  Kyla
12  Kyle
13  Logan
14  Maisie
15  Mariot
16  Minna
17  Nairne
18  Swannoc
19  Vanora
20  Ysenda
Scottish Male 
1  Alastair
2  Athol
3  Dallas
4  Davis
5  Douglas
6  Finlay
7  Irvin
8  Irving
9  Laird
10  Leith
11  Macauley
12  Malcolm
13  Monroe
14  Murdock
15  Nairne
16  Ogilvy
17  Ross
18  Tavis
19  Tearlach
20  Tormod

? APPENDIX  ?
South African Female
1  Dikeledi
2  Dziko
3  Kagiso
4  Kefilwe
5  Lerato
6  Lesedi
7  Lindiwe
8  Lungile
9  Mandisa
10  Manyara
